timestamp,voltage,current,temperature,anode_position,chemical_composition,is_outlier
2025-01-02 00:00:00,4.25,121.15,781.0,0.16,0.98,False
2025-01-02 00:01:00,4.21,120.04,779.6,0.16,0.99,False
2025-01-02 00:02:00,4.22,119.52,779.8,0.15,0.98,False
2025-01-02 00:03:00,4.31,122.10,782.2,0.15,0.97,False
2025-01-02 00:04:00,4.24,121.30,781.1,0.16,0.99,False
2025-01-02 00:05:00,4.20,119.40,779.0,0.15,0.98,False
2025-01-02 00:06:00,4.27,121.60,780.3,0.15,0.97,False
2025-01-02 00:07:00,4.18,119.45,778.2,0.16,0.99,False
2025-01-02 00:08:00,4.29,122.00,781.4,0.15,0.98,False
2025-01-02 00:09:00,4.23,120.10,779.5,0.15,0.98,False
2025-01-02 00:10:00,4.28,121.90,780.6,0.14,0.97,False
2025-01-02 00:11:00,4.17,119.25,778.0,0.16,0.99,False
2025-01-02 00:12:00,4.20,119.75,779.2,0.16,0.99,False
2025-01-02 00:13:00,4.25,121.20,781.0,0.15,0.97,False
2025-01-02 00:14:00,4.30,122.20,782.0,0.15,0.97,False
2025-01-02 00:15:00,4.21,120.45,779.8,0.16,0.98,False
2025-01-02 00:16:00,4.19,119.80,778.9,0.16,0.99,False
2025-01-02 00:17:00,4.24,121.10,780.7,0.15,0.98,False
2025-01-02 00:18:00,4.29,122.30,781.9,0.14,0.97,False
2025-01-02 00:19:00,4.18,119.45,778.4,0.16,0.99,False
2025-01-02 00:20:00,4.20,120.00,779.3,0.15,0.98,False
2025-01-02 00:21:00,4.28,121.55,780.5,0.15,0.97,False
2025-01-02 00:22:00,4.25,121.05,780.2,0.16,0.98,False
2025-01-02 00:23:00,4.19,119.60,778.7,0.16,0.99,False
2025-01-02 00:24:00,4.27,121.40,780.1,0.15,0.98,False
2025-01-02 00:25:00,4.20,119.25,779.0,0.15,0.98,False
2025-01-02 00:26:00,4.22,120.10,779.8,0.16,0.99,False
2025-01-02 00:27:00,4.29,122.40,782.1,0.14,0.97,False
2025-01-02 00:28:00,4.23,120.10,779.5,0.15,0.98,False
2025-01-02 00:29:00,4.21,119.80,779.2,0.15,0.98,False

